id,assetId,name,category,ratio,sourceWidth,sourceHeight,sourceFormat,sourceBytes,resolutionRequirement,resolutionPass,status,blockReason,thumbnailPath,thumbnailWidth,thumbnailHeight,publicationPath,publicationSha256
AST-B4EF766F1,THUMB-TEMPLATE-003,THUMB-TEMPLATE-003_decision_preview_v1.jpg,Identidade,16:9,1280,720,JPEG,121820,Content thumbnail 16:9 — minimum 1280×720,True,APPROVED,,assets/thumbs/AST-B4EF766F1.webp,512,288,assets/publish/THUMB-TEMPLATE-003_decision_preview_v1.jpg,63478711702b34837a30f066cdd14dcfee02e3a3ec8860a4a35e6adaa80a3142
AST-C1C1F0BDA,CHR-001,CHR-001_vesper_kole_v1.png,Personagens,3:2,1536,1024,PNG,2255168,Cover/scene/reference raster — minimum 1600 px on longest edge,False,BLOCKED,Approved source is 1536×1024; it does not meet policy: Cover/scene/reference raster — minimum 1600 px on longest edge. A higher-resolution promoted source is required.,assets/thumbs/AST-C1C1F0BDA.webp,512,341,,
AST-7A6D4B3F5,CHR-002,CHR-002_augustin_reyes_v1.png,Personagens,3:2,1536,1024,PNG,2350840,Cover/scene/reference raster — minimum 1600 px on longest edge,False,BLOCKED,Approved source is 1536×1024; it does not meet policy: Cover/scene/reference raster — minimum 1600 px on longest edge. A higher-resolution promoted source is required.,assets/thumbs/AST-7A6D4B3F5.webp,512,341,,
AST-CB42C3C7F,CHR-003,CHR-003_nneka_osei_v1.png,Personagens,3:2,1536,1024,PNG,2305787,Cover/scene/reference raster — minimum 1600 px on longest edge,False,BLOCKED,Approved source is 1536×1024; it does not meet policy: Cover/scene/reference raster — minimum 1600 px on longest edge. A higher-resolution promoted source is required.,assets/thumbs/AST-CB42C3C7F.webp,512,341,,
AST-3C51B2AF6,CHR-004,CHR-004_teodora_vance_v1.png,Personagens,3:2,1536,1024,PNG,2285844,Cover/scene/reference raster — minimum 1600 px on longest edge,False,BLOCKED,Approved source is 1536×1024; it does not meet policy: Cover/scene/reference raster — minimum 1600 px on longest edge. A higher-resolution promoted source is required.,assets/thumbs/AST-3C51B2AF6.webp,512,341,,
AST-E28020D9F,ENV-001,ENV-001_anchor_v1.png,Ambientes,0.60:1,971,1619,PNG,1582152,Cover/scene/reference raster — minimum 1600 px on longest edge,True,APPROVED,,assets/thumbs/AST-E28020D9F.webp,307,512,assets/publish/ENV-001_anchor_v1.png,b42c199f645468146bcd8961010b67e37e40e2c084970899971dfa733f244543
AST-E051131D1,ENV-002,ENV-002_mouth_v1.png,Ambientes,3:2,1536,1024,PNG,2777740,Cover/scene/reference raster — minimum 1600 px on longest edge,False,BLOCKED,Approved source is 1536×1024; it does not meet policy: Cover/scene/reference raster — minimum 1600 px on longest edge. A higher-resolution promoted source is required.,assets/thumbs/AST-E051131D1.webp,512,341,,
AST-1DCF6C62C,ENV-003,ENV-003_shaft_v2.png,Ambientes,3:2,1536,1024,PNG,2173229,Cover/scene/reference raster — minimum 1600 px on longest edge,False,BLOCKED,Approved source is 1536×1024; it does not meet policy: Cover/scene/reference raster — minimum 1600 px on longest edge. A higher-resolution promoted source is required.,assets/thumbs/AST-1DCF6C62C.webp,512,341,,
AST-EB7917111,ENV-004,ENV-004_landing_one_v2.png,Ambientes,3:2,1536,1024,PNG,1891690,Cover/scene/reference raster — minimum 1600 px on longest edge,False,BLOCKED,Approved source is 1536×1024; it does not meet policy: Cover/scene/reference raster — minimum 1600 px on longest edge. A higher-resolution promoted source is required.,assets/thumbs/AST-EB7917111.webp,512,341,,
AST-28774B479,ENV-005,ENV-005_maintained_stair_v1.png,Ambientes,3:2,1536,1024,PNG,1806442,Cover/scene/reference raster — minimum 1600 px on longest edge,False,BLOCKED,Approved source is 1536×1024; it does not meet policy: Cover/scene/reference raster — minimum 1600 px on longest edge. A higher-resolution promoted source is required.,assets/thumbs/AST-28774B479.webp,512,341,,
AST-F28B62034,ENV-006,ENV-006_freight_shaft_v2.png,Ambientes,3:2,1536,1024,PNG,2058144,Cover/scene/reference raster — minimum 1600 px on longest edge,False,BLOCKED,Approved source is 1536×1024; it does not meet policy: Cover/scene/reference raster — minimum 1600 px on longest edge. A higher-resolution promoted source is required.,assets/thumbs/AST-F28B62034.webp,512,341,,
AST-F1D8DC5BA,ENV-007,ENV-007_water_course_v1.png,Ambientes,3:2,1536,1024,PNG,1932267,Cover/scene/reference raster — minimum 1600 px on longest edge,False,BLOCKED,Approved source is 1536×1024; it does not meet policy: Cover/scene/reference raster — minimum 1600 px on longest edge. A higher-resolution promoted source is required.,assets/thumbs/AST-F1D8DC5BA.webp,512,341,,
AST-B256FAA01,ENV-008,ENV-008_uplink_panel_v1.png,Ambientes,3:2,1536,1024,PNG,1797425,Cover/scene/reference raster — minimum 1600 px on longest edge,False,BLOCKED,Approved source is 1536×1024; it does not meet policy: Cover/scene/reference raster — minimum 1600 px on longest edge. A higher-resolution promoted source is required.,assets/thumbs/AST-B256FAA01.webp,512,341,,
